reviewText,overall,sentiment,word_len,char_len
"Installed as sublimental memory for Samsung Tab 3 8 inch tablet.  Doesn't look like apps can be installed on the card, but that is a Tab 3 issue, not a San Disk issue.  Something to think about when chosing your tablet.  I plan on installing a lot of memory hogging field guide apps, so theTab 3's 16 GB built in memory may be a problem for me.  On the other hand, I have a lot of music, so the SD card will be useful.",5.0,Positive,84,418
"NOT GOOD REPEATEDLY SELF EJECTS FROM NEW GALAXY S4  RETURNED FOR EXCHANGE OR REFUND....BOUGHT TWO ONE WORKS WELL BUT ONE DOESN'T I GUESS IS DEFECTIVE....I HAVE TWO GAL S4,..IS WHY I BOUGHT 2...",1.0,Negative,33,193
"Installed this card in my wife's cel phone.  I would have gone bigger but, that's as big as her phone would take.",5.0,Positive,22,113
I picked up this storage device to use in my phone. I only had a 1 gig mini sd in there for music ad it was getting pretty full. Now 30 plus gigs of free space later i can download to my hearts content.,5.0,Positive,44,202
"After I inserted the micro SD card to the adapter I can no longer removed it from the adapter. It was stuck inside the adapter permanently. I definitely received a defective item. I also read a lot of reviews saying this card have bad sectors.Another, while I was transferring from my computer the transferring of files suddenly stopped and said there was an error.Sandisk's quality control department should up their game. They're selling products to the general public that are defective and flawed (not all of them BUT a lot of them). It's just not me. I also read a lot of reviews saying the card they got were also defective.",2.0,Negative,111,630
Pay attention to your application and what class your card is!  Class 4 or unclassed may be cheaper but it may not give you the performance you want. Don't be pennywise and poundfoolish... this was purchased to go into one of the newer MK808 version tv streamer dongles and those take class 10. For the price this was a good value.I have been using SanDisk xD and sD regular and micro for 8 years now and always found them to be a consistent and high grade storage card. I can recommend this brand.,5.0,Positive,93,498
"There's a lot of counterfeits on these, and I apparently picked up a bum card from MemoryWhiz. My device shows me there's a 32gb of space there; it just is impossible to gain access to it. Rather, the /sdcard folder is found on my device's internal memory (the memory that came with the device). I even downloaded some apps that were supposed to read and write from my SDCard, but they work even when I unmount the card and remove it. So check out these cards thoroughly when you buy them and make sure they're what they say they are. Naturally, SanDisk isn't going to stand by a counterfeit.",1.0,Negative,109,592
"I used it for something like 10 months in my Galaxy S III (GT-I9305) with original firmware, mainly for pictures and flac files.Suddenly I perceived that the last pictures I took disappeared; I took some more pictures as I thought that were software problems but same problem until I realized that the card was not working. Now I can't write it anymore or delete information, format it, delete partition, etc. Now is a ROM. The bright side is that I did not lose valuable information like pictures that now are permanently stored in the card.",2.0,Negative,95,542
"Thank God for amazon return policy or I would be incensed.  This little platic device from hell died unexpectedly after 37 days.  I lost all my phone pictures that were not stored on the phone.  I lost the music but have most on PC.  I lost the videos I had from concerts.What happened was the phone gave me a warning that the storage device (Sandisk Ultra) could not be found.  I took it out and restarted my Galaxy Note 2 and it worked.  then about one hour later I got the same warning.  I tried to save my data with MY Backup Pro App (I had to purchase an extra 3 GBs of data for cloud because the App comes with only 75 MB or something like that and so I backed up everything on the Sandisk Storage).  And as it was backing everything on line  using the Backup Pro Cloud, the Sandisk fried and stopped the backup process.  I was prompted to format the storage disc but everytime I performed this process, the phone would not complete the format.  Now keep in mind that I was not near a computer because I was on vacation so I could not use a computer to format in Fat32.I am returning this disc and purchasing a Samsung 32 GB that costs over 50 bucks.  You get what you pay for.",1.0,Negative,228,1183
Unable to read.It says it's blank.It then prompts to format or cancel.I clicked Format but Unable to Format.,1.0,Negative,18,108
"Got this because you can't beat the price and Sandisk has so far always been reliable for me.  I own two 32gb UHS-1 cards and a few older (16gb, 8gb, class 4, class 6, etc) Sandisk MicroSDs not including my standard SDs or my USB thumb drives and they have stood up to my tests with only one card I can think of failing, which I was still able to recover all the data from (just not write to it anymore) and I'm pretty hard on my rewritable media.  What more can you say?",5.0,Positive,94,471
"I put this in my Galaxy Note II and put a bunch of music and PDFs on it.  I also used it to save videos and photos.  It worked well for about 2 months then, on Christmas Day (today), it said that there was an error reading the card and the card was now blank.  My phone no longer recognizes the card and even putting it into its adapter and sticking it in the SDHC reader of my laptop doesn't work.If this is SanDisk Quality, then I am not impressed.  I am going to have to deal with their warranty replacement but I'd rather have a refund than get another card that might fail after 2 months...",1.0,Negative,117,595
Tried this with its adapter on DSLR Camera and got some errors at times while trying to save data to card.  It is ok for other uses like computer external data.,2.0,Negative,31,160
"Purchased for my android phone to provide more media storage.  The one I received was DOA.  Spoke with SanDisk tech support who confirmed that it was a bad unit.  Since it was within 30 days, they suggested I return it to Amazon instead of going through warranty procedures.  I returned it to Amazon, but made the mistake of requesting a replacement instead of a refund.  The replacement appeared to work at first, but after a short while, it caused my phone to reboot, files went missing and displayed other forms of instability.  It was a bit late to return again, so I contacted Sandisk who replaced the unit under the warranty.  However, this all took a lot of time, necessitated repeated copying of many GBs of data and secure erasing of information.The warranty replacement from SanDisk works well, so far.  However, I'm not seeing much improvement in my application over a similar 32GB Class 4 SanDisk microSDHC (this one is class 10).  Would probably give the current unit 3 stars, but this rating is for the Amazon delivered units (both defective).If you do get a bad one, I'd suggest to return for refund, not replacement.",1.0,Negative,195,1132
"Bought this one for the hubbys GPS, Works just great haven't heard any complaints out of him since I installed it. :) thank you",5.0,Positive,24,127
