reviewText,overall,sentiment,word_len,char_len,pred_raw,pred
"This card does not work on droid razr phones. Whenever I try to transfer files on the card, it makes the phone freeze completely. I have tried every possibility to get this to work, but this type of card is worthless because it does not work due to its high capacity on phones. Every workaround I have tried to get this card to work, it still causes my phone to freeze.",1.0,Negative,71,369,Negative,Negative
"came in fast and managed to get it at a gold box discount, seven more words are required? thats cool i guess.",5.0,Positive,22,109,Positive,Positive
"Slides right into devices with ZERO instructions needed, comes with ""Reader."" Adds lots of Storage space to your Reader or other device. Firmly snaps into place. Easy to read on screen instructions for what to store on device and what to store on SD Card.",5.0,Positive,45,255,Positive,Positive
"My wife's Verizon Motorola Droid 4 immediately recognized this memory card, mounted and formatted it.  She'll can now store vast amounts of music and photos on her smart phone before she ever runs out of memory with this micro SD card.",5.0,Positive,41,235,Positive,Positive
Worked fine in my Samsung S4 for one year.  Then it stopped allowing writing to the card.  Would not format even on a PC or with another device.  The data is still there but cannot be erased.,1.0,Negative,37,191,Negative,Negative
I have owned and used this in my Galaxy SIII for a few months now.  I have never had any problems with it.  It is fast.  I never even think about running out of space on my phone now.  It shows up as 29.71 GB total capacity and I still have 22.86 GB left.,5.0,Positive,54,255,Positive,Positive
"I bought two of these from a major electronics retailer to make sure I don't get a bootleg one and they both crapped out on me. I usually buy from amazon but I needed them rig away . So unless that company has bought a large batch of bootleg cards or maybe I'm retarded. I bought them from the same store but different locations. I have switched brands now. Not taking anymore chances just in case a flood of bootleg ones hit the retail chains too. It worked fine at first but as the card filled up both times, both times they died and my pc or phone couldn't reformat it or recognize it. Good luck if you buy this major name brand, I thought they were the best too but not for me I guess.",1.0,Negative,136,689,Negative,Negative
Buyer beware card unreadable from the get go. Luck for me amazon helped me out. There are many others on here that know how to format to Fat32 threw Window 7 and have had same issues.,1.0,Negative,36,183,Negative,Negative
"I switched off unlimited data for Verizon so I wanted to get something that'll store all my mp3s on my phone easily so when I'm out and about I don't use my data to stream it.This card was great, I put it in my phone, went to phone settings to format microsd and connected it to my pc and loaded all my songs to the SD card with plenty of room left over.",5.0,Positive,73,354,Positive,Positive
"It worked great in my Samsung Galaxy S3, and then failed after 3 months.  Have tried contacting Samsung via their warranty form on their website and I am not having any luck.  I gave up and bought a different 32GB card from NewEgg.com hopefully that one lasts longer.",1.0,Negative,48,267,Negative,Negative
"Do not buy, card failed on the third usage.  Kicker not to my favoris you only have about 2 months to return this card for a full refund.Then, it's a pro rated rated deal when you send it back to Amamzon inLexington, KY.The failed card was in a GoPro White Edition. Needless to say, a camera thatwas purchased for summer outdoor usage in November is going to sit for quite awhile before you have time to get your money back.  Card sat all winter and failedtowards the end of April.  6 months lag to get a decent, even pro rated refund.Out of all the items I bought from Amazon this is my only bad experience.64 gigs crammed on a tiny micro SD card is too much.  I'll stick with thesmaller 32 gigs until this technology is meant to last.Refund Update, once again Amazon did the right thing anbd refunded full purchase pricefor the dead 64 gig.  Amazon is where I shop for 2 reasons.  1. I live 50 miles frombig box stores and 2. they ALWAYS make things right with no muss ...no fuss.I replaced the dead card with Amazon brand Micro 32 gig SD micro card.I have purchased Amazon branded SD cards before and they work just as good as any.Not to mention the cost savings.",1.0,Negative,217,1166,Negative,Negative
Works as it should and have not had any issues with it so far. I also was able to purchase it here for much less then Wal-Mart.,5.0,Positive,27,127,Positive,Positive
The SD to microSD card adapter that comes with this product is too small. It is impossible to remove the card from the adapter without damaging it.,1.0,Negative,27,147,Negative,Negative
"I use it on my phone, it works well enough. Android doesn't like to use the card by default, so I have to move things manually, but that's beside the point. The card works well.",5.0,Positive,35,177,Positive,Positive
Sandisk are the definitive memory products. PERIOD! I have tried to save few bucks here and there and I have lost all the money and all the data. Fristration free package is the simpliest way to get the card in your hand,5.0,Positive,42,220,Positive,Positive
"As the title says, the card I got is defective and faulty. The issue is, the sd card always unmounts and then remounts and sometimes it will says the the sd card is corrupted and needs to be formatted, so first I tried to format it using my cellphone (xperia play) copied all my files again to the sd card and it gave me the same error tried 2 other phones (inspire 3g and Samsung Galaxy S4) still same error, then I tried to take it out and put it in my computer and manually format AND check for bad sectors and fix errors and it will not finish and says &#34;cannot continue because sd card is corrupted&#34;.  I searched google and find out the Sandisk have shipped a bad Batch of Sd cards, so i contacted the company and demanded for a return because its past due to return it through amazon, got RMA'ed and already shipped it and I do not know how long will it take to for them to send me another sd card. So now I do now have any sd card to put my files because of this situations that could've avoided if Sandisk's QA Department is not slacking off. Very disappointed customer.",1.0,Negative,209,1085,Negative,Negative
"My card got so hot it almost melted. Crazy! But you card somewhere else, I know I Wii! I'm not taking the chance of ruining one of my devices. No thanks",1.0,Negative,31,152,Negative,Negative
"Pros: 32 GBs more for my tablet. Works great.Cons: None to speak ofOverall: I hold this and I feel like I'm going to lose it. It is the perfect size to add storage to my tablet, though, and that is what I want it for.",5.0,Positive,45,217,Positive,Positive
Best card for an 808 #26. Gives you 2.5 charge cycles worth of recording without having to dump memory. But ya 32gig is better!,5.0,Positive,24,127,Positive,Positive
"Got this because you can't beat the price and Sandisk has so far always been reliable for me.  I own two 32gb UHS-1 cards and a few older (16gb, 8gb, class 4, class 6, etc) Sandisk MicroSDs not including my standard SDs or my USB thumb drives and they have stood up to my tests with only one card I can think of failing, which I was still able to recover all the data from (just not write to it anymore) and I'm pretty hard on my rewritable media.  What more can you say?",5.0,Positive,94,471,Positive,Positive
"I bought this on black friday last year and took a chance on it. What chance u say? I read some reviews that this card just actually STOPPED working for no reason and not due to abuse or misuse. I had this card in my Acer Iconia A500 and it just STOPPED WORKING! Even my computer doesnt recognize it. WTF Sandisk?? This is an expensive part for this to occur. DO NOT BUY OR IF U DO, BE CAREFUL WHAT U STORE ON IT! I only had music and movies on mine so NBD. But what if u had this in your phone with valuable pictures?",1.0,Negative,106,518,Negative,Negative
"class 10 is about the best there is and SanDisk hasn't let me down, except that one time when a lock/unlock broke off of a 32gig SDHC card I once bought. Well, out of about a hundred different memory cards I'de say that ain't a bad run. This works GREAT in my son's/wife's touch pad. If you can get one on sale they are GREAT!",5.0,Positive,65,326,Positive,Positive
